the_geom,cartodb_id,tract,estimate_gross_rent___occupied_units_paying_rent___median_dol,geography
,167,48029161504,841,"Census Tract 1615.04, Bexar County, Texas"
,168,48029161600,849,"Census Tract 1616, Bexar County, Texas"
,169,48029161801,927,"Census Tract 1618.01, Bexar County, Texas"
,170,48029161802,1082,"Census Tract 1618.02, Bexar County, Texas"
,171,48029161901,648,"Census Tract 1619.01, Bexar County, Texas"
,172,48029161902,816,"Census Tract 1619.02, Bexar County, Texas"
,173,48029162001,644,"Census Tract 1620.01, Bexar County, Texas"
,174,48029162003,742,"Census Tract 1620.03, Bexar County, Texas"
,175,48029162004,649,"Census Tract 1620.04, Bexar County, Texas"
,176,48029170101,799,"Census Tract 1701.01, Bexar County, Texas"
,177,48029170102,539,"Census Tract 1701.02, Bexar County, Texas"
,179,48029170300,734,"Census Tract 1703, Bexar County, Texas"
