GameID,DateGame,VisitorTeam,HomeTeam,ShotType,PlayerID,PlayerName,XCoord,YCoord,ShotDistance
201710210CHI,2017-10-21,SAS,CHI,fg2x,aldrila01,"LaMarcus Aldridge",0,90,9.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,murrade01,"Dejounte Murray",5,31,3.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",26,184,18.00
201710210CHI,2017-10-21,SAS,CHI,fg3,greenda02,"Danny Green",146,212,25.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",118,70,13.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,aldrila01,"LaMarcus Aldridge",160,31,16.00
201710210CHI,2017-10-21,SAS,CHI,fg2,gayru01,"Rudy Gay",2,21,2.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",-12,15,1.00
201710210CHI,2017-10-21,SAS,CHI,fg3x,ginobma01,"Manu Ginobili",230,-14,23.00
201710210CHI,2017-10-21,SAS,CHI,fg3x,forbebr01,"Bryn Forbes",-99,237,25.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,forbebr01,"Bryn Forbes",136,104,17.00
201710210CHI,2017-10-21,SAS,CHI,fg2,gayru01,"Rudy Gay",10,5,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,millspa02,"Patty Mills",0,21,2.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,gayru01,"Rudy Gay",0,-6,0.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,gayru01,"Rudy Gay",-16,17,2.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,gayru01,"Rudy Gay",-2,23,2.00
201710210CHI,2017-10-21,SAS,CHI,fg2,murrade01,"Dejounte Murray",14,5,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2,ginobma01,"Manu Ginobili",-28,102,10.00
201710210CHI,2017-10-21,SAS,CHI,fg2,lauvejo01,"Joffrey Lauvergne",-9,75,7.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,forbebr01,"Bryn Forbes",-88,-4,8.00
201710210CHI,2017-10-21,SAS,CHI,fg3x,ginobma01,"Manu Ginobili",-28,262,26.00
201710210CHI,2017-10-21,SAS,CHI,fg2,murrade01,"Dejounte Murray",15,201,20.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,anderky01,"Kyle Anderson",3,12,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,anderky01,"Kyle Anderson",0,-6,0.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,murrade01,"Dejounte Murray",25,153,15.00
201710210CHI,2017-10-21,SAS,CHI,fg2,forbebr01,"Bryn Forbes",-101,11,10.00
201710210CHI,2017-10-21,SAS,CHI,fg3x,aldrila01,"LaMarcus Aldridge",62,252,25.00
201710210CHI,2017-10-21,SAS,CHI,fg2,greenda02,"Danny Green",81,189,20.00
201710210CHI,2017-10-21,SAS,CHI,fg2,aldrila01,"LaMarcus Aldridge",-48,23,5.00
201710210CHI,2017-10-21,SAS,CHI,fg2,greenda02,"Danny Green",-11,12,1.00
201710210CHI,2017-10-21,SAS,CHI,fg3x,gayru01,"Rudy Gay",228,-17,22.00
201710210CHI,2017-10-21,SAS,CHI,fg2,gayru01,"Rudy Gay",-82,155,17.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,anderky01,"Kyle Anderson",-9,105,10.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,greenda02,"Danny Green",144,143,20.00
201710210CHI,2017-10-21,SAS,CHI,fg2,lauvejo01,"Joffrey Lauvergne",-3,16,1.00
201710210CHI,2017-10-21,SAS,CHI,fg3x,greenda02,"Danny Green",-150,210,25.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,lauvejo01,"Joffrey Lauvergne",11,7,1.00
201710210CHI,2017-10-21,SAS,CHI,fg2x,lauvejo01,"Joffrey Lauvergne",18,199,19.00
201710230SAS,2017-10-23,TOR,SAS,fg2,aldrila01,"LaMarcus Aldridge",-133,44,14.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,greenda02,"Danny Green",-5,-10,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2,anderky01,"Kyle Anderson",4,75,7.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,greenda02,"Danny Green",-116,191,22.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,anderky01,"Kyle Anderson",225,-10,22.00
201710230SAS,2017-10-23,TOR,SAS,fg2,murrade01,"Dejounte Murray",0,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,murrade01,"Dejounte Murray",-7,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,anderky01,"Kyle Anderson",81,37,8.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,aldrila01,"LaMarcus Aldridge",10,20,2.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gasolpa01,"Pau Gasol",2,209,20.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,murrade01,"Dejounte Murray",-130,78,15.00
201710230SAS,2017-10-23,TOR,SAS,fg2,greenda02,"Danny Green",-2,7,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,aldrila01,"LaMarcus Aldridge",55,134,14.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",-3,0,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,lauvejo01,"Joffrey Lauvergne",2,7,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3,ginobma01,"Manu Ginobili",68,241,25.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",20,11,2.00
201710230SAS,2017-10-23,TOR,SAS,fg2,ginobma01,"Manu Ginobili",-8,10,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gasolpa01,"Pau Gasol",13,-13,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gayru01,"Rudy Gay",-8,13,1.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,gayru01,"Rudy Gay",112,776,78.00
201710230SAS,2017-10-23,TOR,SAS,fg2,millspa02,"Patty Mills",-94,168,19.00
201710230SAS,2017-10-23,TOR,SAS,fg3,gayru01,"Rudy Gay",-158,210,26.00
201710230SAS,2017-10-23,TOR,SAS,fg2,ginobma01,"Manu Ginobili",-2,7,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,millspa02,"Patty Mills",-185,71,19.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,millspa02,"Patty Mills",-230,7,23.00
201710230SAS,2017-10-23,TOR,SAS,fg2,gayru01,"Rudy Gay",2,2,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gasolpa01,"Pau Gasol",-55,27,6.00
201710230SAS,2017-10-23,TOR,SAS,fg2,gayru01,"Rudy Gay",0,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,greenda02,"Danny Green",37,253,25.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,murrade01,"Dejounte Murray",47,173,17.00
201710230SAS,2017-10-23,TOR,SAS,fg2,greenda02,"Danny Green",-2,7,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gasolpa01,"Pau Gasol",-24,15,2.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,gasolpa01,"Pau Gasol",0,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3,greenda02,"Danny Green",-225,-10,22.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,greenda02,"Danny Green",-19,249,24.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,murrade01,"Dejounte Murray",0,-6,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,lauvejo01,"Joffrey Lauvergne",223,5,22.00
201710230SAS,2017-10-23,TOR,SAS,fg2,aldrila01,"LaMarcus Aldridge",-7,7,0.00
201710230SAS,2017-10-23,TOR,SAS,fg2,forbebr01,"Bryn Forbes",-7,7,0.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,greenda02,"Danny Green",211,121,24.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,ginobma01,"Manu Ginobili",-6,22,2.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-119,54,13.00
201710230SAS,2017-10-23,TOR,SAS,fg2,gayru01,"Rudy Gay",14,6,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,aldrila01,"LaMarcus Aldridge",8,29,3.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,gasolpa01,"Pau Gasol",16,246,24.00
201710230SAS,2017-10-23,TOR,SAS,fg2,murrade01,"Dejounte Murray",13,4,1.00
201710230SAS,2017-10-23,TOR,SAS,fg2,aldrila01,"LaMarcus Aldridge",136,22,13.00
201710230SAS,2017-10-23,TOR,SAS,fg3x,aldrila01,"LaMarcus Aldridge",73,241,25.00
201710230SAS,2017-10-23,TOR,SAS,fg2x,greenda02,"Danny Green",11,156,15.00
